MET,Alt_CG_Geod_CM (ft),Latitude_CG_Geod (radians),Longitude_CG_Geod (radians),Alt_CG_Geod_LAS (ft),Latitude_CG_Geod (radians),Longitude_CG_Geod (radians),Alt_CG_Geod_Booster (ft),Latitude_CG_Geod (radians),Longitude_CG_Geod (radians),Quat1_s (CM),Quat1_v0 (CM),Quat1_v1 (CM),Quat1_v2 (CM),Quat1_s (LAS),Quat1_v0 (LAS),Quat1_v1 (LAS),Quat1_v2 (LAS),Quat1_s (Booster),Quat1_v0 (Booster),Quat1_v1 (Booster),Quat1_v2 (Booster),Engine Flag,reserved
1.15,-45.544094,0.49669454,-1.4054857,-45.544094,0.49669454,-1.4054851,-45.544094,0.49669454,-1.4054849,0.447645226,0.54839736,0.4449935,-0.54850239,0.447645226,0.54839736,0.4449935,-0.54850239,0.447645226,0.54839736,0.4449935,-0.54850239,0,0
1.175,-45.544762,0.49669454,-1.4054857,-45.544762,0.49669454,-1.4054851,-45.544762,0.49669454,-1.4054849,0.44763678,0.54840451,0.44500244,-0.54849488,0.44763678,0.54840451,0.44500244,-0.54849488,0.44763678,0.54840451,0.44500244,-0.54849488,0,0
1.2,-45.545395,0.49669454,-1.4054857,-45.545395,0.49669454,-1.4054851,-45.545395,0.49669454,-1.4054849,0.447621806,0.54841197,0.44502124,-0.54848439,0.447621806,0.54841197,0.44502124,-0.54848439,0.447621806,0.54841197,0.44502124,-0.54848439,0,0
1.225,-45.546082,0.49669454,-1.4054857,-45.546082,0.49669454,-1.4054851,-45.546082,0.49669454,-1.4054849,0.447617176,0.54841548,0.44504288,-0.5484671,0.447617176,0.54841548,0.44504288,-0.5484671,0.447617176,0.54841548,0.44504288,-0.5484671,0,0
1.25,-45.546841,0.49669454,-1.4054857,-45.546841,0.49669454,-1.4054851,-45.546841,0.49669454,-1.4054849,0.447609692,0.54842705,0.44506076,-0.54844713,0.447609692,0.54842705,0.44506076,-0.54844713,0.447609692,0.54842705,0.44506076,-0.54844713,0,0
1.275,-45.547543,0.49669454,-1.4054857,-45.547543,0.49669454,-1.4054851,-45.547543,0.49669454,-1.4054849,0.44759449,0.54843736,0.44508636,-0.54842842,0.44759449,0.54843736,0.44508636,-0.54842842,0.44759449,0.54843736,0.44508636,-0.54842842,0,0
1.3,-45.548279,0.49669454,-1.4054857,-45.548279,0.49669454,-1.4054851,-45.548279,0.49669454,-1.4054849,0.447576185,0.54844648,0.44511348,-0.54841226,0.447576185,0.54844648,0.44511348,-0.54841226,0.447576185,0.54844648,0.44511348,-0.54841226,0,0
1.325,-45.549191,0.49669454,-1.4054857,-45.549191,0.49669454,-1.4054851,-45.549191,0.49669454,-1.4054849,0.447569021,0.54846168,0.44513926,-0.54838198,0.447569021,0.54846168,0.44513926,-0.54838198,0.447569021,0.54846168,0.44513926,-0.54838198,0,0
1.35,-45.549992,0.49669454,-1.4054857,-45.549992,0.49669454,-1.4054851,-45.549992,0.49669454,-1.4054849,0.447558428,0.54846638,0.4451718,-0.54835951,0.447558428,0.54846638,0.4451718,-0.54835951,0.447558428,0.54846638,0.4451718,-0.54835951,0,0
1.375,-45.550888,0.49669454,-1.4054857,-45.550888,0.49669454,-1.4054851,-45.550888,0.49669454,-1.4054849,0.44753566,0.5484876,0.4452067,-0.54832858,0.44753566,0.5484876,0.4452067,-0.54832858,0.44753566,0.5484876,0.4452067,-0.54832858,0,0
