MET,Alt_CG_Geod_CM (ft),Latitude_CG_Geod (radians),Longitude_CG_Geod (radians),Alt_CG_Geod_LAS (ft),Latitude_CG_Geod (radians),Longitude_CG_Geod (radians),Alt_CG_Geod_Booster (ft),Latitude_CG_Geod (radians),Longitude_CG_Geod (radians),Quat1_s (CM),Quat1_v0 (CM),Quat1_v1 (CM),Quat1_v2 (CM),Quat1_s (LAS),Quat1_v0 (LAS),Quat1_v1 (LAS),Quat1_v2 (LAS),Quat1_s (Booster),Quat1_v0 (Booster),Quat1_v1 (Booster),Quat1_v2 (Booster),Engine Flag,reserved
1.830257,-47.144989,0.49669436,-1.405486,-47.144989,0.49669436,-1.405486,-47.144989,0.49669436,-1.405486,0.4535445984,0.5434671,0.45220983,-0.54262978,0.4535445984,0.5434671,0.45220983,-0.54262978,0.4535445984,0.5434671,0.45220983,-0.54262978,0,0
1.849938,-47.14579,0.49669436,-1.405486,-47.14579,0.49669436,-1.405486,-47.14579,0.49669436,-1.405486,0.4535527567,0.54347861,0.45218167,-0.5426349,0.4535527567,0.54347861,0.45218167,-0.5426349,0.4535527567,0.54347861,0.45218167,-0.5426349,0,0
1.869618,-47.146671,0.49669436,-1.405486,-47.146671,0.49669436,-1.405486,-47.146671,0.49669436,-1.405486,0.4535599604,0.54350156,0.45214027,-0.54264039,0.4535599604,0.54350156,0.45214027,-0.54264039,0.4535599604,0.54350156,0.45214027,-0.54264039,0,0
1.889298,-47.147564,0.49669436,-1.405486,-47.147564,0.49669436,-1.405486,-47.147564,0.49669436,-1.405486,0.453571038,0.5435214,0.45210209,-0.54264307,0.453571038,0.5435214,0.45210209,-0.54264307,0.453571038,0.5435214,0.45210209,-0.54264307,0,0
1.928657,-47.148373,0.49669436,-1.405486,-47.148373,0.49669436,-1.405486,-47.148373,0.49669436,-1.405486,0.4535758322,0.54353654,0.45207214,-0.54264885,0.4535758322,0.54353654,0.45207214,-0.54264885,0.4535758322,0.54353654,0.45207214,-0.54264885,0,0
1.948337,-47.14922,0.49669436,-1.405486,-47.14922,0.49669436,-1.405486,-47.14922,0.49669436,-1.405486,0.4535834605,0.54355395,0.45203689,-0.5426544,0.4535834605,0.54355395,0.45203689,-0.5426544,0.4535834605,0.54355395,0.45203689,-0.5426544,0,0
1.968018,-47.150074,0.49669436,-1.405486,-47.150074,0.49669436,-1.405486,-47.150074,0.49669436,-1.405486,0.4535856606,0.54356992,0.45201004,-0.54265893,0.4535856606,0.54356992,0.45201004,-0.54265893,0.4535856606,0.54356992,0.45201004,-0.54265893,0,0
2.007377,-47.150978,0.49669436,-1.405486,-47.150978,0.49669436,-1.405486,-47.150978,0.49669436,-1.405486,0.4535955059,0.54358375,0.45197624,-0.542665,0.4535955059,0.54358375,0.45197624,-0.542665,0.4535955059,0.54358375,0.45197624,-0.542665,0,0
2.027058,-47.151814,0.49669436,-1.405486,-47.151814,0.49669436,-1.405486,-47.151814,0.49669436,-1.405486,0.4536010824,0.54359555,0.45195094,-0.54266959,0.4536010824,0.54359555,0.45195094,-0.54266959,0.4536010824,0.54359555,0.45195094,-0.54266959,0,0
2.046739,-47.152626,0.49669436,-1.405486,-47.152626,0.49669436,-1.405486,-47.152626,0.49669436,-1.405486,0.4536017006,0.54360682,0.45193082,-0.54267454,0.4536017006,0.54360682,0.45193082,-0.54267454,0.4536017006,0.54360682,0.45193082,-0.54267454,0,0
2.066418,-47.153564,0.49669436,-1.405486,-47.153564,0.49669436,-1.405486,-47.153564,0.49669436,-1.405486,0.4536102102,0.54362231,0.45190415,-0.54267412,0.4536102102,0.54362231,0.45190415,-0.54267412,0.4536102102,0.54362231,0.45190415,-0.54267412,0,0
2.105778,-47.154411,0.49669436,-1.405486,-47.154411,0.49669436,-1.405486,-47.154411,0.49669436,-1.405486,0.4536141467,0.54362905,0.45188886,-0.54267681,0.4536141467,0.54362905,0.45188886,-0.54267681,0.4536141467,0.54362905,0.45188886,-0.54267681,1,0
2.125458,-47.155289,0.49669436,-1.405486,-47.155289,0.49669436,-1.405486,-47.155289,0.49669436,-1.405486,0.4536190201,0.54364127,0.45186612,-0.54267943,0.4536190201,0.54364127,0.45186612,-0.54267943,0.4536190201,0.54364127,0.45186612,-0.54267943,1,0
2.145138,-47.156097,0.49669436,-1.405486,-47.156097,0.49669436,-1.405486,-47.156097,0.49669436,-1.405486,0.4536221974,0.54364771,0.45184788,-0.54268551,0.4536221974,0.54364771,0.45184788,-0.54268551,0.4536221974,0.54364771,0.45184788,-0.54268551,1,0
2.164818,-47.156963,0.49669436,-1.405486,-47.156963,0.49669436,-1.405486,-47.156963,0.49669436,-1.405486,0.4536259183,0.54365647,0.4518331,-0.54268593,0.4536259183,0.54365647,0.4518331,-0.54268593,0.4536259183,0.54365647,0.4518331,-0.54268593,1,0
2.204179,-47.157867,0.49669436,-1.405486,-47.157867,0.49669436,-1.405486,-47.157867,0.49669436,-1.405486,0.4536311441,0.54366285,0.45181954,-0.54268646,0.4536311441,0.54366285,0.45181954,-0.54268646,0.4536311441,0.54366285,0.45181954,-0.54268646,1,0
2.223858,-47.158699,0.49669436,-1.405486,-47.158699,0.49669436,-1.405486,-47.158699,0.49669436,-1.405486,0.4536298024,0.54366863,0.45180956,-0.5426901,0.4536298024,0.54366863,0.45180956,-0.5426901,0.4536298024,0.54366863,0.45180956,-0.5426901,1,0
